# Start logging UI actions
# Tue Oct 17 11:11:56 2023
[Tue Oct 17 11:12:08 2023] Window title: 'Open Project' | QPushButton '&Open' pressed!
[Tue Oct 17 11:12:08 2023] Window title: 'Quartus Prime' | QPushButton '&Yes' pressed!
[Tue Oct 17 11:12:15 2023] Window title: 'Quartus Prime' | QPushButton '&Yes' pressed!
[Tue Oct 17 11:12:20 2023] [Action triggered] Window title: 'Quartus Prime Pro Edition - /nfs/site/disks/psg_board_1/xinyul3x/Stratix10GX/stratix10GX_1sg280u50_fpga_revd_htile_v23.1/qts_qsfp_sdi/qts_qsfp_sdi - qts_qsfp_sdi [*]' | P&rocessing > 'Compilation Dashboard' was pressed
[Tue Oct 17 11:12:27 2023] Window title: 'Upgrade IP Components' | QCheckBox '' was checked
[Tue Oct 17 11:12:27 2023] Window title: 'Upgrade IP Components' | QCheckBox '' was checked
[Tue Oct 17 11:12:27 2023] Window title: 'Upgrade IP Components' | QCheckBox '' was checked
[Tue Oct 17 11:12:27 2023] Window title: 'Upgrade IP Components' | QCheckBox '' was checked
[Tue Oct 17 11:12:27 2023] Window title: 'Upgrade IP Components' | QCheckBox '' was checked
[Tue Oct 17 11:12:27 2023] Window title: 'Upgrade IP Components' | QCheckBox '' was checked
[Tue Oct 17 11:12:27 2023] Window title: 'Upgrade IP Components' | QCheckBox '' was checked
[Tue Oct 17 11:14:12 2023] Window title: 'Upgrade IP Components' | QPushButton 'Auto Upgrade' pressed!
[Tue Oct 17 11:14:14 2023] Window title: 'Upgrade IP Components' | QPushButton 'Close' pressed!
[Tue Oct 17 11:14:17 2023] [Action triggered] Window title: 'Quartus Prime Pro Edition - /nfs/site/disks/psg_board_1/xinyul3x/Stratix10GX/stratix10GX_1sg280u50_fpga_revd_htile_v23.1/qts_qsfp_sdi/qts_qsfp_sdi - qts_qsfp_sdi [*]' | &File > '&Open...' was pressed
[Tue Oct 17 11:14:20 2023] Window title: 'Open File' | QPushButton '&Open' pressed!
[Tue Oct 17 11:16:34 2023] [Action triggered] Window title: 'Quartus Prime Pro Edition - /nfs/site/disks/psg_board_1/xinyul3x/Stratix10GX/stratix10GX_1sg280u50_fpga_revd_htile_v23.1/qts_qsfp_sdi/qts_qsfp_sdi - qts_qsfp_sdi [*]' | &File > '&Open...' was pressed
[Tue Oct 17 11:16:39 2023] Window title: 'Open File' | QPushButton '&Open' pressed!
[Tue Oct 17 11:18:48 2023] [Action triggered] Window title: 'Quartus Prime Pro Edition - /nfs/site/disks/psg_board_1/xinyul3x/Stratix10GX/stratix10GX_1sg280u50_fpga_revd_htile_v23.1/qts_qsfp_sdi/qts_qsfp_sdi - qts_qsfp_sdi [*]' | &File > '&Open...' was pressed
[Tue Oct 17 11:18:53 2023] Window title: 'Open File' | QPushButton '&Open' pressed!
[Tue Oct 17 11:22:07 2023] [Action triggered] Window title: 'Quartus Prime Pro Edition - /nfs/site/disks/psg_board_1/xinyul3x/Stratix10GX/stratix10GX_1sg280u50_fpga_revd_htile_v23.1/qts_qsfp_sdi/qts_qsfp_sdi - qts_qsfp_sdi [*]' | &File > '&Open...' was pressed
[Tue Oct 17 11:22:10 2023] Window title: 'Open File' | QPushButton '&Open' pressed!
[Tue Oct 17 11:26:08 2023] [Action triggered] Window title: 'Quartus Prime Pro Edition - /nfs/site/disks/psg_board_1/xinyul3x/Stratix10GX/stratix10GX_1sg280u50_fpga_revd_htile_v23.1/qts_qsfp_sdi/qts_qsfp_sdi - qts_qsfp_sdi [*]' | P&rocessing > 'Start &Compilation' was pressed
[Tue Oct 17 11:26:08 2023] [Action triggered] Window title: 'Quartus Prime Pro Edition - /nfs/site/disks/psg_board_1/xinyul3x/Stratix10GX/stratix10GX_1sg280u50_fpga_revd_htile_v23.1/qts_qsfp_sdi/qts_qsfp_sdi - qts_qsfp_sdi [*]' | P&rocessing > 'Compilation Dashboard' was pressed
[Tue Oct 17 12:02:06 2023] Window title: 'Report Clock Domain Crossing Viewer' | QCheckBox 'Report panel name:' was checked
[Tue Oct 17 12:02:06 2023] Window title: 'Report Clock Domain Crossing Viewer' | 'File options': QRadioButton 'Overwrite' was checked
# End of logging UI actions
# Tue Oct 17 14:13:21 2023
